Entry	Gene Names
Q6C890	ERF2 YALI0D21670g
Q6C893	PSD1 YALI0_D21604g
Q6C8A3	LIG4 YALI0D21384g
Q6C8C6	YALI0_D20768g
Q6C8F0	CEX1 YALI0_D20196g
Q6C8M8	ATG26 YALI0D18403g
Q6C8S0	ATP18 YALI0_D17490g
Q6C8U8	YALI0_D16863g
Q6C910	YALI0_D15246g
Q6C961	RAT1 YALI0D13750g
Q6C9B1	ATP5 OSCP YALI0_D12584g
Q6C9K1	YALI0_D10571g
Q6C9Q1	SPB1 YALI0D09251g
Q6C9Y4	CPA1 YALI0D07370g
Q6CA87	SWR1 YALI0D04961g
Q6CAD2	TEL1 YALI0D03888g
Q6CAE7	PSD2 YALI0_D03480g
Q6CAZ5	YALI0_C23144g
Q6CB54	SAR1 YALI0C21824g
Q6CBK1	UBA4 YALI0C18095g
Q6CC39	PUS1 YALI0C12749g
Q6CCH0	TAH18 YALI0C09460g
Q6CCW0	HEM1 YALI0C06083g
Q6CD10	YALI0_C04774g
Q6CDL9	HAM1 YALI0B22924g
Q6CDM0	BNA5 YALI0B22902g
Q6CDS6	ROK1 YALI0B21538g
Q6CE42	MCM7 YALI0_B18722g
Q6CE43	YALI0_B18700g
Q6CE48	IND1 YALI0B18590g
Q6CED4	YALI0_B16544g
Q6CEE9	YALI0B16192g
Q6CEG2	COQ3 YALI0_B15884g
Q6CEJ6	CCR4 YALI0B15147g
Q6CEK8	SET1 YALI0B14883g
Q6CEM3	YALI0_B14553g
Q6CES1	YALI0_B13464g
Q6CEU3	PIF1 YALI0_B12892g
Q6CF18	NTE1 YALI0B11044g
Q6CFD2	MET3 YALI0B08184g
Q6CFT4	VPS27 YALI0B04070g
Q6CG48	PAC1 LIS1 YALI0B00902g
Q6CG57	ADK1 YALI0B00704g
Q6CH03	ADI1 YALI0A14498g
Q6CH90	SUB2 YALI0A11157g
Q6CI63	YALI0_A01353g
Q8WZM0	GCN5 YALI0E02772g
Q99148	ADE1 YALI0F21010g
Q99155	PEX2 PAY5 YALI0F01012g
Q99170	KAR2 YALI0E13706g
B5FVB3	ATP19 YALI0_B11913g
B5FVB8	ATP20 YALI0_B21527g
B5FVH1	YALI0_E04169g
B5FVI0	URM1 YALI0E19481g
B5RSL5	YALI0_F13354g
B5RSM1	SUS1 YALI0F26136g
C0HLB1	ATP15
F2Z5Z3	YALI0_A10659g
F2Z672	YALI0_B22308g
F2Z678	ADH2 YALI0E17787g
F2Z694	YALI0_D08228g
F2Z695	YALI0_F19712g
F2Z6B9	YALI0_A10395g
F2Z6J4	COQ6 YALI0_A09042g
O59949	TEF YALI0C09141g
P29407	PGK1 YALI0D12400g
P30614	PYK1 YALI0F09185g
P30887	PHO2 YALI0D03465g
P36966	PEX6 PAY4 YALI0C18689g
P38997	LYS5 YALI0B15444g
P41923	URA5 YALI0F21527g
P41929	LYC1 YALI0E05533g
P41943	GPR1 YALI0C23617g
P42781	XPR6 YALI0F13189g
P45815	CRF1 YALI0B08206g
P45817	PEX9 PAY2 YALI0F00748g
P78978	RIM101 RPH2 YALI0B13640g
P78979	SEC61 YALI0E21912g
Q12724	URA3 YALI0E26741g
Q12725	EXG1 YALI0F05390g
Q12726	LYS1 YALI0F31075g
Q3V7I4	THI4 YALI0A09768g
Q6BZP6	YALI0_F31977g
Q6BZQ6	BOS1 YALI0F31669g
Q6BZQ9	NMA111 YALI0F31603g
Q6BZR4	DBP9 YALI0F31493g
Q6BZR9	YALI0_F31383g
Q6BZT1	YALI0_F31119g
Q6BZT7	YALI0_F30987g
Q6BZU2	CCS1 YALI0F30877g
Q6BZU7	BST1B YALI0F30767g
Q6BZV1	YALI0_F30679g
Q6BZW9	YALI0_F30283g
Q6BZX5	SEC13 YALI0F30151g
Q6BZZ1	ATG12 YALI0F29689g
Q6C002	YALI0_F29205g
Q6C007	CWC2 YALI0F29073g
Q6C009	YALI0_F28765g
Q6C012	YALI0_F28655g
Q6C019	YALI0_F28501g
Q6C024	PRP28 YALI0F28391g
Q6C030	DPB2 YALI0F28215g
Q6C038	YALI0_F28039g
Q6C044	ATG18 YALI0F27907g
Q6C055	YALI0_F27665g
Q6C060	MIC60 YALI0F27555g
Q6C070	SPC19 YALI0F27335g
Q6C097	HEM3 YALI0F26609g
Q6C0A1	ADK2 YALI0_F26521g
Q6C0A2	YALI0_F26499g
Q6C0C4	HHT1 YALI0F25905g
Q6C0E6	CWC15 YALI0F25421g
Q6C0G3	DPH3 YALI0F24981g
Q6C0G9	YALI0_F24783g
Q6C0I0	SNU13 YALI0F24497g
Q6C0J1	X325 YALI0_F24255g
Q6C0K1	YPI1 YALI0F23991g
Q6C0K9	BYE1 YALI0F23815g
Q6C0L7	YALI0F23595g
Q6C0M3	YALI0_F23463g
Q6C0M4	HER2 YALI0F23441g
Q6C0M6	YALI0_F23397g
Q6C0M9	CWC21 YALI0F23309g
Q6C0N5	YALI0_F23177g
Q6C0P9	TRM61 YALI0F22737g
Q6C0Q2	INT6 YALI0F22671g
Q6C0R0	YALI0_F22495g
Q6C0S8	DPH1 YALI0F22055g
Q6C0T2	YALI0_F21967g
Q6C0U0	VRG4 YALI0F21791g
Q6C0U8	CYM1 YALI0F21615g
Q6C0X2	DHH1 YALI0F21032g
Q6C0Y0	COF1 YALI0F20856g
Q6C0Y3	YALI0_F20790g
Q6C0Z3	MCD4 YALI0F20570g
Q6C120	YALI0_F19910g
Q6C141	DUT1 YALI0F19448g
Q6C161	TIF32 YALI0F18942g
Q6C187	BBP YALI0F18370g
Q6C193	SPB4 YALI0F18238g
Q6C1A4	YALI0_F17974g
Q6C1E0	DPH5 YALI0F17138g
Q6C1F3	ENO YALI0F16819g
Q6C1G8	YALI0_F16379g
Q6C1H8	PRT1 YALI0F16115g
Q6C1I1	TRM7 YALI0_F16049g
Q6C1I4	YALI0_F15983g
Q6C1J1	YALI0_F15829g
Q6C1M7	YALI0_F14927g
Q6C1N1	YALI0F14839g
Q6C1R1	YALI0_F14179g
Q6C1S2	YALI0_F13937g
Q6C1U5	YALI0_F13299g
Q6C1W9	TRM10 YALI0F12771g
Q6C1X0	YALI0_F12749g
Q6C216	GPI18 YALI0F11649g
Q6C255	GUF1 YALI0F10725g
Q6C278	YALI0_F10098g
Q6C297	YALI0_F09603g
Q6C299	YALI0_F09559g
Q6C2B0	URA6 YALI0_F09339g
Q6C2B3	YALI0_F09273g
Q6C2C9	YALI0_F08921g
Q6C2E3	QCR2 YALI0F08613g
Q6C2F0	YALI0_F08459g
Q6C2H4	CET1 YALI0F07865g
Q6C2J1	GEM1 YALI0F07491g
Q6C2K6	YALI0_F07084g
Q6C2M3	YALI0_F06644g
Q6C2Q6	YALI0_F05940g
Q6C2R8	RAD5 YALI0F05698g
Q6C2S2	COQ2 YALI0_F05610g
Q6C2S9	SNX3 YALI0F05456g
Q6C2T4	SEC24 YALI0F05324g
Q6C2T8	DAM1 YALI0F05236g
Q6C2T9	TPI1 YALI0F05214g
Q6C2U5	YALI0_F05082g
Q6C2V6	ATP14 YALI0_F04774g
Q6C2W1	YALI0_F04664g
Q6C2Z2	BST1A YALI0F03927g
Q6C2Z7	YSH1 YALI0F03817g
Q6C305	NTG1 YALI0_F03641g
Q6C315	ATG13 YALI0F03432g
Q6C334	YALI0_F02981g
Q6C341	HTZ1 YALI0F02827g
Q6C342	YALI0_F02805g
Q6C347	FAL1 YALI0F02695g
Q6C348	YALI0_F02673g
Q6C370	END3 YALI0F02145g
Q6C3A7	YALI0_F01232g
Q6C3B0	SEY1 YALI0F01166g
Q6C3B6	YALI0_F01034g
Q6C3C5	YALI0_F00836g
Q6C3D7	STE20 YALI0F00572g
Q6C3F6	YALI0_F00154g
Q6C3G7	YALI0_E34980g
Q6C3H7	YALI0_E34749g
Q6C3I4	YALI0_E34551g
Q6C3J3	MRH4 YALI0E34353g
Q6C3K2	ALG1 YALI0E34133g
Q6C3K3	YALI0_E34111g
Q6C3L4	SLT11 YALI0E33847g
Q6C3M9	GET3 YALI0E33495g
Q6C3N3	YALI0_E33407g
Q6C3N5	YALI0_E33377g
Q6C3P2	YALI0_E33253g
Q6C3P4	PPM2 TYW4 YALI0E33209g
Q6C3P6	YALI0_E33165g
Q6C3R2	YALI0_E32769g
Q6C3S1	NDE1 YALI0E32571g
Q6C3U1	YOS9 YALI0E32131g
Q6C3V4	NUF2 YALI0E31867g
Q6C3V7	ALG2 YALI0E31797g
Q6C3V9	YALI0_E31779g
Q6C3X6	RVB2 YALI0E31449g
Q6C3Z7	YALI0_E31009g
Q6C414	SEC31 YALI0E30635g
Q6C423	JHD1 YALI0E30393g
Q6C427	LCL3 YALI0E30305g
Q6C452	MAD1 YALI0E29623g
Q6C454	YALI0_E29579g
Q6C457	UTP10 YALI0E29506g
Q6C482	YALI0E28963g
Q6C4C2	YALI0_E27962g
Q6C4C3	TIF6 YALI0_E27940g
Q6C4C9	FPR3 YALI0E27808g
Q6C4F2	YALI0_E27269g
Q6C4F8	TRM13 YALI0E27137g
Q6C4G2	YALI0_E27049g
Q6C4H2	YALI0_E26829g
Q6C4I9	ERB1 YALI0E26389g
Q6C4J6	YALI0_E26235g
Q6C4P9	YALI0_E24673g
Q6C4Q4	YALI0_E24563g
Q6C4Q6	ATG5 YALI0E24519g
Q6C4Q7	YALI0_E24497g
Q6C4Q9	ATG3 YALI0E24453g
Q6C4S9	YALI0_E24013g
Q6C4V0	YALI0_E23496g
Q6C4V4	YALI0_E23408g
Q6C4W5	PFA3 YALI0E23177g
Q6C4W6	CPR2 YALI0E23155g
Q6C4X6	YALI0_E22935g
Q6C4X9	OCA1 YALI0E22880g
Q6C503	ERV25 YALI0E22220g
Q6C519	SET9 YALI0E21802g
Q6C520	AKR1 YALI0E21780g
Q6C537	YKT6 YALI0E21329g
Q6C552	YALI0_E20955g
Q6C555	GET1 YALI0E20889g
Q6C556	YALI0_E20867g
Q6C579	YALI0_E20361g
Q6C5C0	YALI0_E19360g
Q6C5C1	YALI0_E19338g
Q6C5D0	CFD1 YALI0E19074g
Q6C5D3	YALI0_E19008g
Q6C5H4	GLR1 YALI0E18029g
Q6C5L2	YALI0_E17105g
Q6C5L5	SEC23 YALI0E16995g
Q6C5P5	YALI0_E16346g
Q6C5R4	YALI0_E15840g
Q6C5S2	YALI0_E15642g
Q6C5S3	YALI0_E15620g
Q6C5T7	YALI0_E15268g
Q6C5T9	COQ7 YALI0_E15224g
Q6C5U8	SRB7 MED21 YALI0E15037g
Q6C5V7	YNG2 YALI0E14773g
Q6C5X6	YALI0_E14256g
Q6C5Y7	YALI0_E14014g
Q6C613	YALI0_E13376g
Q6C662	SOD1 YALI0E12133g
Q6C673	ISN1 YALI0E11913g
Q6C675	YALI0_E11869g
Q6C6B9	YALI0_E10747g
Q6C6C6	YALI0E10571g
Q6C6H7	YALI0_E09449g
Q6C6I6	PET112 YALI0E09240g
Q6C6I8	YALI0_E09196g
Q6C6J7	YALI0_E09012g
Q6C6K6	YALI0_E08822g
Q6C6K7	YALI0_E08756g
Q6C6M0	ATG2 YALI0E08338g
Q6C6N0	ATM1 YALI0E08030g
Q6C6N9	YALI0_E07788g
Q6C6P8	YALI0_E07491g
Q6C6U9	CHO2 YALI0E06061g
Q6C6V5	YALI0_E05929g
Q6C703	RRI1 CSN5 YALI0E04829g
Q6C705	TRM82 YALI0E04785g
Q6C709	PRP46 YALI0E04697g
Q6C712	RRD2 YALI0E04642g
Q6C721	YALI0_E04444g
Q6C747	TIF35 YALI0E03828g
Q6C748	BNA7 YALI0_E03806g
Q6C764	ERT1-2 YALI0E03410g
Q6C774	YALI0_E03190g
Q6C783	CEG1 YALI0E02904g
Q6C791	LYS4 YALI0E02728g
Q6C794	ATG8 YALI0E02662g
Q6C799	DBP8 YALI0E02552g
Q6C7A6	NBP35 YALI0E02354g
Q6C7B9	KU80 YALI0E02068g
Q6C7D1	PFA5 YALI0E01804g
Q6C7F7	SHE9 YALI0E01188g
Q6C7G2	NMT1 YALI0E01078g
Q6C7H6	DIM1 YALI0E00770g
Q6C7K8	EAF1 VID21 YALI0D27258g
Q6C7L3	YALI0_D27148g
Q6C7Q0	PFA4 YALI0D26345g
Q6C7Q6	LAS21 GPI7 YALI0D26235g
Q6C7S6	DTD1 YALI0D25718g
Q6C7V4	POB3 YALI0D25058g
Q6C7W0	MDM34 YALI0D24926g
Q6C7X8	DBP10 YALI0D24497g
Q6C7Y5	TIM54 YALI0D24343g
Q6C813	YALI0_D23661g
Q6C816	YALI0_D23595g
Q6C823	YALI0_D23397g
Q6C829	YALI0_D23265g
Q6C830	YALI0D23243g
Q6C835	DBP7 YALI0D23133g
Q6C842	BUR1 YALI0D22935g
Q6C846	ARG8 YALI0D22847g
Q6C859	YALI0_D22484g
Q6C880	SEC22 YALI0D21956g
Q6C882	STU1 YALI0D21912g
Q6C897	YALI0_D21530g
Q6C8F1	YALI0_D20174g
Q6C8F5	CEF1 YALI0D20086g
Q6C8H2	LOC1 YALI0D19624g
Q6C8J5	TSR3 YALI0_D19118g
Q6C8R5	NCS6 CTU1 YALI0D17600g
Q6C8S3	YALI0_D17424g
Q6C8T1	YALI0_D17204g
Q6C8T4	YALI0_D17138g
Q6C8V1	UTR4 YALI0D16797g
Q6C8W4	YALI0D16379g
Q6C908	PAN1 YALI0D15304g
Q6C931	SPT16 YALI0D14652g
Q6C963	YALI0_D13706g
Q6C968	YALI0_D13596g
Q6C985	YALI0_D13112g
Q6C9C9	YALI0_D12210g
Q6C9E6	ATP17 YALI0_D11814g
Q6C9E7	SET5 YALI0D11792g
Q6C9G6	YALI0_D11374g
Q6C9G8	MCR1 YALI0D11330g
Q6C9H2	NOP9 YALI0D11242g
Q6C9I6	TAY1 YALI0D10923g
Q6C9I7	ISY1 YALI0D10901g
Q6C9K2	YALI0_D10549g
Q6C9K9	YALI0_D10307g
Q6C9L7	YALI0_D10104g
Q6C9M4	YALI0_D09955g
Q6C9M8	BNA4 YALI0D09867g
Q6C9N0	DSE1 YALI0D09823g
Q6C9N7	YALI0_D09669g
Q6C9P3	DBP3 YALI0D09449g
Q6C9Q0	CYC1 YALI0D09273g
Q6C9R9	SFH5 YALI0D08866g
Q6C9T3	ALG11 YALI0D08558g
Q6C9W0	UBC12 YALI0D07890g
Q6C9W9	YALI0_D07700g
Q6C9X0	SNX41 YALI0D07678g
Q6C9Y6	MEF1 YALI0D07326g
Q6CA06	MMM1-2 YALI0D06886g
Q6CA26	RPB5 YALI0D06457g
Q6CA43	YALI0_D06039g
Q6CA53	APT1 YALI0D05797g
Q6CA67	TRM5 YALI0D05489g
Q6CA79	MAP2 YALI0D05159g
Q6CA82	YALI0_D05071g
Q6CA86	CBR1 YALI0D04983g
Q6CA91	YALI0_D04873g
Q6CA97	YALI0_D04741g
Q6CAB5	YALI0D04268g
Q6CAC5	SHO1 YALI0D04048g
Q6CAD6	YALI0_D03718g
Q6CAF8	YALI0_D03135g
Q6CAG9	SEC11 YALI0D02849g
Q6CAI0	YALI0_D02607g
Q6CAN4	YALI0_D01265g
Q6CAP2	YALI0_D01089g
Q6CAP9	MMM1-1 YALI0D00935g
Q6CAU0	YALI0_C24354g
Q6CAV2	YALI0_C24101g
Q6CAV7	RNY1 YALI0C23991g
Q6CAV8	YALI0_C23969g
Q6CAX3	CHL1 YALI0C23639g
Q6CAX5	PNG1 YALI0C23562g
Q6CAY4	YALI0_C23364g
Q6CB28	YALI0_C22385g
Q6CB52	RVB1 YALI0C21868g
Q6CB61	YALI0_C21648g
Q6CB69	DED1 YALI0C21472g
Q6CB88	YALI0_C21087g
Q6CB95	YALI0_C20933g
Q6CBA2	CAP2 YALI0C20735g
Q6CBB0	MDE1 YALI0C20427g
Q6CBC3	ATG7 YALI0C20119g
Q6CBE4	ETR1 YALI0C19624g
Q6CBG6	YALI0_C19041g
Q6CBH3	COQ1 YALI0C18755g
Q6CBJ6	COQ5 YALI0_C18205g
Q6CBK6	YALI0_C17941g
Q6CBP4	CPR6 YALI0C16775g
Q6CBS3	SNF7 VPS32 YALI0C16027g
Q6CBS9	ATG27 YALI0C15851g
Q6CBW4	YALI0_C14960g
Q6CBX2	RMT2 YALI0C14718g
Q6CBY8	YALI0_C14344g
Q6CBZ0	PAN3 YALI0C14256g
Q6CC11	ABD1 YALI0C13618g
Q6CC36	YALI0_C12859g
Q6CC71	YALI0_C11880g
Q6CC84	SPT5 YALI0C11561g
Q6CC93	YALI0_C11363g
Q6CC99	HAT1 YALI0C11231g
Q6CCG0	YALI0_C09680g
Q6CCK2	KU70 YALI0C08701g
Q6CCN0	YALI0_C08074g
Q6CCQ7	YALI0_C07436g
Q6CCR8	YALI0_C07128g
Q6CCU3	MPG1 YALI0C06490g
Q6CCU7	GPD YALI0C06369g
Q6CCV4	DRE2 YALI0C06215g
Q6CCW1	YALI0_C06061g
Q6CCW6	YALI0_C05951g
Q6CCY2	ARX1 YALI0C05599g
Q6CCZ1	PRP5 YALI0C05368g
Q6CCZ5	KAE1 YALI0C05280g
Q6CD24	TFB4 YALI0C04367g
Q6CDE6	YALI0C01133g
Q6CDH0	EGD2 YALI0C00605g
Q6CDH3	PAB1 YALI0C00539g
Q6CDH4	YALI0_C00495g
Q6CDI5	YALI0_C00253g
Q6CDK0	NOP7 YALI0B23342g
Q6CDL0	YALI0B23122g
Q6CDL3	YALI0_B23056g
Q6CDL8	YALI0_B22946g
Q6CDN5	DBP6 YALI0B22572g
Q6CDN8	YALI0_B22506g
Q6CDQ7	YALI0_B22066g
Q6CDS7	YALI0_B21516g
Q6CDV4	TIF1 TIF41 YALI0B20922g
Q6CDV7	TIM50 YALI0B20856g
Q6CDZ4	YALI0_B19998g
Q6CDZ5	YALI0_B19976g
Q6CE12	TRM8 YALI0B19558g
Q6CE16	YALI0_B19382g
Q6CE59	YALI0_B18348g
Q6CE77	YJU2 YALI0_B17886g
Q6CE86	TSC10 YALI0B17688g
Q6CE97	YALI0_B17402g
Q6CEA5	ALG10 YALI0B17226g
Q6CEB8	DRS1 YALI0B16896g
Q6CED2	YALI0_B16588g
Q6CEE1	ARG2 YALI0B16390g
Q6CEE3	YALI0_B16324g
Q6CEE7	PPN1 YALI0B16236g
Q6CEF3	GUA1 YALI0B16104g
Q6CEG8	YALI0_B15752g
Q6CEH4	YALI0_B15598g
Q6CEI8	YALI0_B15304g
Q6CEI9	HSV2 YALI0B15290g
Q6CEJ4	YALI0_B15180g
Q6CEJ7	YALI0_B15125g
Q6CEK5	YALI0_B14949g
Q6CEK6	RBK1 YALI0_B14927g
Q6CEL4	NAT10 YALI0_B14751g
Q6CEM6	YALI0_B14487g
Q6CER3	DAD1 YALI0B13684g
Q6CER7	YALI0_B13552g
Q6CER8	YALI0_B13530g
Q6CER9	CSE4 YALI0B13508g
Q6CES3	MEU1 YALI0B13420g
Q6CET6	YALI0_B13090g
Q6CEU0	PAM18 TIM14 YALI0B12958g
Q6CEV3	YALI0_B12628g
Q6CEW7	YTM1 YALI0B12320g
Q6CEY7	NDC80 YALI0B11814g
Q6CEZ1	YALI0_B11726g
Q6CEZ5	YALI0_B11594g
Q6CF09	YALI0_B11286g
Q6CF19	LSM3 YALI0_B11022g
Q6CF24	YAF9 YALI0B10912g
Q6CF38	YALI0_B10516g
Q6CF50	NCS2 CTU2 YALI0B10263g
Q6CF60	BST1C YALI0B10043g
Q6CF73	YALI0_B09669g
Q6CF78	BRE1 YALI0B09559g
Q6CF95	YALI0_B09053g
Q6CFC9	YALI0_B08250g
Q6CFF9	YALI0_B07381g
Q6CFH9	ATP7 YALI0_B06831g
Q6CFI3	DDI1 YALI0B06754g
Q6CFJ4	YALI0_B06446g
Q6CFJ9	YALI0_B06303g
Q6CFL1	YALI0_B05940g
Q6CFN6	YALI0_B05368g
Q6CFP3	KEX1 YALI0B05170g
Q6CFQ0	ISU1 YALI0B04928g
Q6CFQ6	YALI0_B04752g
Q6CFR0	ATG11 YALI0B04598g
Q6CFS9	ALA1 YALI0_B04180g
Q6CFT1	ESF2 YALI0B04136g
Q6CFU4	YALI0_B03718g
Q6CFX1	BNA1 YALI0B02852g
Q6CFX3	YALI0_B02816g
Q6CFX5	RRD1 YALI0B02772g
Q6CFY9	YALI0_B02376g
Q6CFZ4	YALI0_B02244g
Q6CG11	FMN1 YALI0B01826g
Q6CG20	SWF1 YALI0B01606g
Q6CG46	NOP58 YALI0B00946g
Q6CG51	YALI0_B00836g
Q6CG88	ALO1 YALI0A21263g
Q6CGD1	DBP4 YALI0A20328g
Q6CGE6	CNB1 YALI0A19976g
Q6CGE7	DPH2 YALI0A19954g
Q6CGF6	LSM4 YALI0_A19756g
Q6CGG3	FPR2 YALI0A19602g
Q6CGI3	YALI0_A19074g
Q6CGI5	YALI0_A19030g
Q6CGK4	CWC27 YALI0A18568g
Q6CGL4	YALI0A18337g
Q6CGL9	YALI0_A18227g
Q6CGR2	YALI0_A17127g
Q6CGR3	DAD2 YALI0A17061g
Q6CGS4	MRI1 YALI0A16698g
Q6CGV1	YALI0_A15972g
Q6CGV2	YALI0_A15950g
Q6CGZ0	YALI0_A14784g
Q6CH28	ATG4 YALI0A13277g
Q6CH50	YALI0_A12353g
Q6CH58	RRP3 YALI0A12133g
Q6CH79	YALI0_A11539g
Q6CHA1	YALI0_A10879g
Q6CHB1	YALI0_A10615g
Q6CHD6	OCT1 YALI0A09988g
Q6CHD8	YALI0_A09900g
Q6CHE5	MSH3 YALI0A09724g
Q6CHE9	EFM7 NNT1 YALI0A09636g
Q6CHG3	YALI0_A08932g YALI0_A09317g YALI0_D21846g YALI0_E09350g YALI0_E34606g
Q6CHI1	RAD18 YALI0A08580g
Q6CHI6	YALI0_A08426g
Q6CHJ7	LIA1 YALI0A08129g
Q6CHK0	VTS1 YALI0A08063g
Q6CHN0	SLA1 YALI0A07018g
Q6CHP1	YALI0A06787g
Q6CHP9	CCM1 YALI0A06611g
Q6CHS5	YALI0_A05423g
Q6CHS7	YALI0_A05379g
Q6CHT2	YALI0_A05247g
Q6CHU2	YALI0_A04961g
Q6CHV1	YALI0_A04675g
Q6CHW9	YALI0_A03927g
Q6CHY6	MVP1 YALI0A03443g
Q6CHY9	YALI0_A03245g
Q6CHZ7	YALI0_A03025g
Q6CI08	TIF34 YALI0A02695g
Q6CI13	MDM12 YALI0A02585g
Q6CI15	YALI0_A02541g
Q6CI19	YALI0_A02453g
Q6CI62	ASF1 YALI0A01375g
Q6CI72	YALI0_A01023g
Q6CI82	YALI0_A00803g
Q6CIA7	YALI0_A00132g
Q6L8K7	PAT1 YALI0E11099g
Q7Z8R5	RIM9 YALI0E33627g
Q874C0	PEX3 YALI0F22539g
Q8J0I8	AOX YALI0E00814g
Q8TG23	MBF1 ylMBF1 YALI0B12166g
Q92389	AXP1 AXP YALI0B05654g
Q99144	PAY32 PEX5 YALI0F28457g
Q99145	HIS1 YALI0C05170g
Q99150	SRP54 YALI0F03839g
Q99158	SIL1 SLS1 YALI0E32703g
Q99161	SEC62 YALI0B17512g
Q9B6C7	ND3
Q9B6C8	ND2
Q9B6D0	COB CYTB
Q9B6D3	ND5
Q9B6D4	ND4L
Q9B6D5	COX2
Q9B6D6	ND4
Q9B6E7	COX1
Q9B6E8	ND1
Q9B6E9	ND6
Q9HFC8	RIM13 YALI0D14740g
Q9UVF4	GPD1 YALI0B02948g
Q9Y753	SQS1 YALI0A10076g
W0TYP5	YALI0_B01224g
B5FVA8	YALI0_B01771g
B5FVB0	YALI0_B03575g
B5FVB1	YALI0_B04851g
B5FVB5	YALI0_B17303g
B5FVB7	YALI0_B20911g
B5FVD7	YALI0_D03949g
B5FVE0	YALI0_D05697g
B5FVE1	YALI0_D06578g
B5FVE3	YALI0_D08635g
B5FVE6	YALI0_D11125g
B5FVE7	YALI0_D11627g
B5FVF8	YALI0_E28930g
B5FVG6	YALI0_E32736g
B5FVG8	YALI0_E34826g
B5FVH8	YALI0_E14388g2
B5RSK0	YALI0_A09933g
B5RSL7	YALI0_F18359g
B5RSM2	YALI0_F26156g
B5RSM6	YALI0_F30426g
B5U8Q6	YALI0_A21076g
F2Z5X4	YALI0_C01023g
F2Z5Y4	YALI0_C02387g
F2Z5Y6	YALI0_A09108g
F2Z5Z4	YALI0_E34287g
F2Z5Z5	YALI0_B07667g
F2Z604	YALI0_A09262g
F2Z612	YALI0_E02222g
F2Z617	YALI0_C22770g
F2Z620	YALI0_E34309g
F2Z627	YALI0_E27654g
F2Z630	YALI0_C23859g
F2Z640	YALI0_D26315g
F2Z643	YALI0_F13629g
F2Z650	YALI0_E01056g
F2Z658	YALI0_E25845g
F2Z660	YALI0_B20372g
F2Z675	YALI0_E04400g
F2Z686	YALI0_F24563g
F2Z697	YALI0_C22616g
F2Z6A9	YALI0_E29887g
F2Z6B2	YALI0_A18722g
